Sat Dec 26 22:17:25 +0000 2015,680875087814262785,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",ademcafoglu,"İstanbul, Trabzon,",,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:15:50 +0000 2015,680874690345365504,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YunusBassahan,"Bodrum, Türkiye",,,nic.tr yine patladı :)

Sat Dec 26 22:13:54 +0000 2015,680874201876664321,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",devTurk1461,Türkiye,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:13:12 +0000 2015,680874025548165120,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BYSIRLI,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:12:42 +0000 2015,680873900465631232,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NuRveGul26,Almanya,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:05:49 +0000 2015,680872168465514498,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",emre_katipoglu,,,,"@srkninci ODTÜ nic.tr yi BTK ya bıraktı diyelim, bir şeylerin değişeceğine innıyormusun? Bence bu iş anlaşmalı özel şirketlere bırakılmalı"

Sat Dec 26 22:02:15 +0000 2015,680871270091735040,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nermin_1461,Türkiye,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

